"groupRef","entryRef","entryDistribution","groupTier","priority"
"","Attachment_Optics",25,0,0
"","Attachment_L1",33,0,0
"","Attachment_L2",35,0,0
"","Attachment_L3",7,0,0
"","Attachment_L4",0,0,0
"","corrupted_attachments",2,0,0
"","",0,0,0
"Attachment_Ultra_High","",0,3,0
"","Attachment_Optics",25,0,0
"","Attachment_L1",30,0,0
"","Attachment_L2",35,0,0
"","Attachment_L3",10,0,0
"","Attachment_L4",0,0,0
"","corrupted_attachments",4,0,0
"","",0,0,0
"Hopup_Purple","",0,0,0
"","hopup_kinetic_loader",34,0,0
"","hopup_smart_reload",33,0,0
"","hopup_double_tap",0,0,0
"","",0,0,0
"Hopup_Gold","",0,0,0
"","hopup_shield_breaker",34,0,0
"","hopup_unshielded_dmg",33,0,0
"","hopup_shatter_rounds",33,0,0
"","",0,0,0
"Assault_Bin_Attachment_High","",0,0,0
"","bullets_mag_l2",4,0,0
"","highcal_mag_l2",4,0,0
"","energy_mag_l2",4,0,0
"","sniper_mag_l2",2.8,0,0
"","shotgun_bolt_l2",3.2,0,0
"","stock_tactical_l2",4,0,0
"","stock_sniper_l2",3.2,0,0
"","laser_sight_l2",4,0,0
"","barrel_stabilizer_l2",4,0,0
"","bullets_mag_l3",1.4,0,0
"","highcal_mag_l3",1.4,0,0
"","energy_mag_l3",1.4,0,0
"","sniper_mag_l3",1,0,0
"","shotgun_bolt_l3",1.2,0,0
"","stock_tactical_l3",1,0,0
"","stock_sniper_l3",0.8,0,0
"","laser_sight_l3",0.8,0,0
"","barrel_stabilizer_l3",0.6,0,0
"","bullets_mag_l4",0.13,0,0
"","highcal_mag_l4",0.13,0,0
"","energy_mag_l4",0.13,0,0
"","sniper_mag_l4",0.13,0,0
"","shotgun_bolt_l4",0.13,0,0
"","stock_sniper_l4",0.13,0,0
"","laser_sight_l4",0.13,0,0
"","Hopup_Purple",0,0,0
"","Hopup_Gold",2,0,0
"","",0,0,0
"Assault_Bin_Optic","",0,0,0
"","optic_cq_hcog_classic",2,0,0
"","optic_cq_holosight",0,0,0
"","optic_cq_hcog_bruiser",3,0,0
"","optic_cq_holosight_variable",3,0,0
"","optic_ranged_hcog",3,0,0
"","optic_ranged_aog_variable",3,0,0
"","optic_sniper",2,0,0
"","optic_sniper_variable",2,0,0
"","optic_cq_threat",0,0,0
"","",0,0,0
"medic_super","",0,3,300
"","helmet_pickup_lv3",35,0,0
"","armor_pickup_lv3_evolving",35,0,0
"","incapshield_pickup_lv3",30,0,0
"","",0,0,0
"medic_super_solo","",0,3,300
"","Helmet_3",35,0,0
"","Armor_3",35,0,0
"","health_pickup_combo_full",30,0,0
"","",0,0,0
"medic_super_side","",0,1,300
"","Health_1",95,0,0
"","mp_ability_mobile_respawn_beacon",5,0,0
"","",0,0,0
"weapon_super","",0,1,300
"","Weapon_High",100,0,0
"","",0,0,0
"Tick_Epic_Items","",0,3,0
"","helmet_pickup_lv3",8,0,0
"","backpack_pickup_lv3",8,0,0
"","incapshield_pickup_lv3",8,0,0
"","augments",8,0,0
"","shotgun_bolt_l3",9,0,0
"","bullets_mag_l3",9,0,0
"","highcal_mag_l3",9,0,0
"","energy_mag_l3",9,0,0
"","sniper_mag_l3",6,0,0
"","stock_sniper_l3",9,0,0
"","stock_tactical_l3",9,0,0
"","barrel_stabilizer_l3",9,0,0
"","laser_sight_l3",9,0,0
"","",0,0,0
"loottick_static_01","",0,3,0
"","Survival_Items",25,0,0
"","Health_2",65,0,0
"","Tick_Epic_Items",10,0,0
"","",0,0,0
"loottick_static_02","",0,3,0
"","Health_2",20,0,0
"","Attachment_L2",65,0,0
"","Tick_Epic_Items",15,0,0
"","",0,0,0
"loottick_static_03","",0,3,0
"","gold_weapons",1,0,0
"","corrupted_attachments",4,0,0
"","Tick_Epic_Items",95,0,0
"","",0,0,0
"care_package_1_L","",0,0,0
"","top_tier_health",0,0,0
"","mp_pickup_xp_cache_dynamic",100,0,0
"","",0,0,0
"care_package_1_R","",0,0,0
"","top_tier_health",100,0,0
"","",0,0,0
"care_package_1_C","",0,0,0
"","crate_jackpot_items",0,0,0
"","crate_weapons_earlygame",0,0,0
"","gold_weapons",100,0,0
"","crate_weapons_valentines",0,0,0
"","",0,0,0
"care_package_1_Cb","",0,0,0
"","gold_weapons",5,0,0
"","Weapon_High",95,0,0
"","",0,0,0
"care_package_2_L","",0,0,0
"","corrupted_attachments",50,0,0
"","mp_pickup_xp_cache_dynamic",50,0,0
"","",0,0,0
"care_package_2_R","",0,0,0
"","top_tier_health",100,0,0
"","",0,0,0
"care_package_2_C","",0,0,0
"","crate_jackpot_items",0,0,0
"","crate_weapons_midgame",100,0,0
"","crate_weapons_valentines",0,0,0
"","",0,0,0
"care_package_2_Cb","",0,0,0
"","gold_weapons",25,0,0
"","Weapon_High",75,0,0
"","",0,0,0
"care_package_3_L","",0,0,0
"","corrupted_attachments",40,0,0
"","mp_pickup_xp_cache_dynamic",60,0,0
"","",0,0,0
"care_package_3_R","",0,0,0
"","top_tier_health",100,0,0
"","",0,0,0
"care_package_3_C","",0,0,0
"","crate_jackpot_items",0,0,0
"","crate_weapons_lategame",100,0,0
"","crate_weapons_valentines",0,0,0
"","",0,0,0
"care_package_3_Cb","",0,0,0
"","gold_weapons",50,0,0
"","Weapon_High",50,0,0
"","",0,0,0
"care_package_final_armor_or_health","",0,0,0
"","armor_pickup_lv4_all_fast",50,0,0
"","health_pickup_combo_full",16,0,0
"","health_pickup_combo_large",17,0,0
"","health_pickup_health_large",17,0,0
"","",0,0,0
"Desertlands_Train","",0,0,0
"","Zone_Medium",50,0,0
"","Zone_High",50,0,0
"","",0,0,0
"Desertlands_Train_Station","",0,0,0
"","Weapon_Medium",23,0,0
"","ammo",13,0,0
"","Health_Low",16,0,0
"","ordnance",12,0,0
"","Attachment_Low",18,0,0
"","Armor_Medium",8,0,0
"","Helmet_Low",1,0,0
"","Backpack_Low",8,0,0
"","Incapshield_Low",1,0,0
"","",0,0,0
"Bloodhound_Jackpot_Items","",0,3,0
"","mp_pickup_xp_cache_dynamic",6,0,0
"","Attachment_L3",12,0,0
"","Attachment_L4",12,0,0
"","corrupted_attachments",2,0,0
"","health_pickup_combo_full",1,0,0
"","optic_sniper_threat",1,0,0
"","augments",12,0,0
"","",0,0,0
"Bldg_Hovertank","",0,3,0
"","Tick_Epic_Items",0.5,0,0
"","Weapon_High",33.6,0,0
"","Zone_Hovertank_Random",65.9,0,0
"","",0,0,0
"Zone_Hovertank_Random","",0,3,0
"","ammo",7,0,0
"","Health_High",24,0,0
"","ordnance",24,0,0
"","Attachment_High",24,0,0
"","Armor_High",3,0,0
"","Helmet_High",4,0,0
"","Backpack_High",3,0,0
"","Incapshield_High",4,0,0
"","",0,0,0
"Zone_SupplyShip_Random","",0,3,0
"","ammo",10,0,0
"","Health_High",26,0,0
"","ordnance",20,0,0
"","Attachment_Low",21,0,0
"","Armor_1",23,0,0
"","",0,0,0
"SupplyShip_Bin_GoodStuff","",0,0,0
"","Armor_3",6,0,0
"","Armor_2",26,0,0
"","Helmet_3",11,0,0
"","Helmet_2",12,0,0
"","Incapshield_3",5,0,0
"","Incapshield_2",10,0,0
"","Backpack_3",6,0,0
"","Backpack_2",22,0,0
"","Incapshield_High",2,0,0
"","",0,0,0
"POI_sniper","",0,3,300
"","sniper_rifles",50,0,0
"","sniper_attachments",50,0,0
"","",0,0,0
"sniper_rifles","",0,2,300
"","mp_weapon_g2",20,0,0
"","mp_weapon_dmr",25,0,0
"","mp_weapon_defender",15,0,0
"","mp_weapon_doubletake",18,0,0
"","mp_weapon_sentinel",22,0,0
"","",0,0,0
"sniper_attachments","",0,2,300
"","optic_ranged_aog_variable",10,0,0
"","optic_sniper",10,0,0
"","optic_sniper_variable",5,0,0
"","optic_sniper_threat",1,0,0
"","bullets_mag_l1",5,0,0
"","bullets_mag_l2",5,0,0
"","bullets_mag_l3",5,0,0
"","highcal_mag_l1",5,0,0
"","highcal_mag_l2",5,0,0
"","highcal_mag_l3",5,0,0
"","energy_mag_l1",5,0,0
"","energy_mag_l2",5,0,0
"","energy_mag_l3",5,0,0
"","sniper_mag_l1",7,0,0
"","sniper_mag_l2",7,0,0
"","sniper_mag_l3",7,0,0
"","stock_sniper_l1",5,0,0
"","stock_sniper_l2",5,0,0
"","stock_sniper_l3",5,0,0
"","barrel_stabilizer_l1",5,0,0
"","barrel_stabilizer_l2",5,0,0
"","barrel_stabilizer_l3",5,0,0
"","",0,0,0
"flyer_deathbox_all_gold","",0,0,0
"","gold_weapons",37.5,0,0
"","helmet_pickup_lv4_abilities",0,0,0
"","armor_pickup_lv4_all_fast",5,0,0
"","incapshield_pickup_lv4_selfrevive",5,0,0
"","backpack_pickup_lv4_revive_boost",10,0,0
"","optic_cq_threat",0,0,0
"","optic_sniper_threat",2.5,0,0
"","bullets_mag_l4",1.5,0,0
"","highcal_mag_l4",1.5,0,0
"","energy_mag_l4",1.5,0,0
"","sniper_mag_l4",1.5,0,0
"","stock_sniper_l4",1.5,0,0
"","laser_sight_l4",1.5,0,0
"","Hopup_Gold",5,0,0
"","",0,0,0
"flyer_deathbox_all_purple","",0,0,0
"","health_pickup_combo_full",10,0,0
"","helmet_pickup_lv3",10,0,0
"","armor_pickup_lv3_evolving",10,0,0
"","incapshield_pickup_lv3",10,0,0
"","augments",10,0,0
"","backpack_pickup_lv3",10,0,0
"","optic_ranged_hcog",2.5,0,0
"","optic_ranged_aog_variable",2.5,0,0
"","optic_sniper_variable",2.5,0,0
"","laser_sight_l3",2.5,0,0
"","barrel_stabilizer_l3",2.5,0,0
"","bullets_mag_l3",2.5,0,0
"","highcal_mag_l3",2.5,0,0
"","energy_mag_l3",2.5,0,0
"","sniper_mag_l3",1.5,0,0
"","shotgun_bolt_l3",2.5,0,0
"","stock_tactical_l3",2.5,0,0
"","stock_sniper_l3",2.5,0,0
"","Hopup_Purple",0,0,0
"","",0,0,0
"flyer_deathbox_all_blue","",0,0,0
"","health_pickup_health_large",10,0,0
"","health_pickup_combo_large",5,0,0
"","helmet_pickup_lv2",10,0,0
"","armor_pickup_lv2_evolving",10,0,0
"","incapshield_pickup_lv2",10,0,0
"","backpack_pickup_lv2",10,0,0
"","optic_cq_hcog_bruiser",5,0,0
"","optic_cq_holosight_variable",5,0,0
"","optic_sniper",5,0,0
"","laser_sight_l2",5,0,0
"","barrel_stabilizer_l2",5,0,0
"","bullets_mag_l2",5,0,0
"","highcal_mag_l2",2.5,0,0
"","energy_mag_l2",2.5,0,0
"","sniper_mag_l2",1.5,0,0
"","shotgun_bolt_l2",2.5,0,0
"","stock_tactical_l2",2.5,0,0
"","stock_sniper_l2",2.5,0,0
"","",0,0,0
"flyer_deathbox_weapons","",0,0,0
"","Weapon_Low",35,0,0
"","Weapon_Medium",35,0,0
"","Weapon_High",30,0,0
"","",0,0,0
"flyer_deathbox_armor","",0,0,0
"","Armor_1",35,0,0
"","Armor_2",35,0,0
"","Armor_3",30,0,0
"","",0,0,0
"flyer_deathbox_helmet","",0,0,0
"","Helmet_2",35,0,0
"","Helmet_3",30,0,0
"","",0,0,0
"flyer_deathbox_backpack","",0,0,0
"","Backpack_1",35,0,0
"","Backpack_2",35,0,0
"","Backpack_3",30,0,0
"","",0,0,0
"flyer_deathbox_incapshield","",0,0,0
"","Incapshield_2",35,0,0
"","Incapshield_3",30,0,0
"","",0,0,0
"flyer_deathbox_gadget","",0,0,0
"","mp_ability_mobile_respawn_beacon",10,0,0
"","mp_ability_void_ring",0,0,0
"","mp_ability_redeploy_balloon",30,0,0
"","",0,0,0
"flyer_deathbox_ordnance","",0,0,0
"","ordnance",100,0,0
"","",0,0,0
"flyer_deathbox_misc","",0,0,0
"","ammo",30,0,0
"","Attachment_Low",10,0,0
"","Attachment_Medium",10,0,0
"","Attachment_High",15,0,0
"","Health_Low",10,0,0
"","Health_Medium",10,0,0
"","Health_High",15,0,0
"","",0,0,0
"data_knife_vault","",0,0,300
"","honeypot",100,0,0
"","",0,0,0
"loot_roller_contents_01","",0,0,0
"","Zone_Medium",40,0,0
"","health_pickup_combo_large",30,0,0
"","health_pickup_health_large",30,0,0
"","",0,0,0
"loot_roller_contents_02","",0,0,0
"","Zone_High",97.5,0,0
"","gold_weapons",2.5,0,0
"","",0,0,0
"loot_roller_contents_03","",0,0,0
"","loot_roller_contents_common",20,0,0
"","loot_roller_contents_rare",35,0,0
"","loot_roller_contents_epic",35,0,0
"","loot_roller_contents_legendary",10,0,0
"","",0,0,0
"loot_roller_contents_common","",0,0,0
"","health_pickup_health_small",20,0,0
"","health_pickup_combo_small",20,0,0
"","optic_cq_hcog_classic",15,0,0
"","Attachment_L1",30,0,0
"","",0,0,0
"loot_roller_contents_rare","",0,0,0
"","optic_cq_hcog_bruiser",10,0,0
"","optic_cq_holosight_variable",10,0,0
"","health_pickup_health_large",10,0,0
"","health_pickup_combo_large",10,0,0
"","Attachment_L2",60,0,0
"","",0,0,0
"loot_roller_contents_epic","",0,0,0
"","backpack_pickup_lv3",10,0,0
"","augments",10,0,0
"","Attachment_L3",70,0,0
"","optic_ranged_hcog",5,0,0
"","optic_ranged_aog_variable",5,0,0
"","",0,0,0
"loot_roller_contents_legendary","",0,0,0
"","armor_pickup_lv4_all_fast",9,0,0
"","helmet_pickup_lv4_abilities",0,0,0
"","backpack_pickup_lv4_revive_boost",11,0,0
"","incapshield_pickup_lv4_selfrevive",11,0,0
"","optic_cq_threat",0,0,0
"","Hopup_Gold",8,0,0
"","bullets_mag_l4",9,0,0
"","highcal_mag_l4",9,0,0
"","energy_mag_l4",9,0,0
"","shotgun_bolt_l4",9,0,0
"","sniper_mag_l4",4,0,0
"","stock_sniper_l4",6,0,0
"","laser_sight_l4",6,0,0
"","gold_weapons",2,0,0
"","",0,0,0
"telephaser_loot_roller_contents_common","",0,0,0
"","health_pickup_health_small",20,0,0
"","health_pickup_combo_small",20,0,0
"","optic_cq_hcog_classic",15,0,0
"","Attachment_L1",30,0,0
"","",0,0,0
"telephaser_loot_roller_contents_rare","",0,0,0
"","optic_cq_hcog_bruiser",10,0,0
"","optic_cq_holosight_variable",10,0,0
"","health_pickup_health_large",10,0,0
"","health_pickup_combo_large",10,0,0
"","Attachment_L2",60,0,0
"","",0,0,0
"telephaser_loot_roller_contents_epic","",0,0,0
"","backpack_pickup_lv3",10,0,0
"","augments",10,0,0
"","Attachment_L3",70,0,0
"","optic_ranged_hcog",5,0,0
"","optic_ranged_aog_variable",5,0,0
"","",0,0,0
"telephaser_loot_roller_contents_legendary","",0,0,0
"","armor_pickup_lv4_all_fast",9,0,0
"","helmet_pickup_lv4_abilities",0,0,0
"","backpack_pickup_lv4_revive_boost",11,0,0
"","incapshield_pickup_lv4_selfrevive",11,0,0
"","optic_cq_threat",0,0,0
"","Hopup_Gold",8,0,0
"","bullets_mag_l4",9,0,0
"","highcal_mag_l4",9,0,0
"","energy_mag_l4",9,0,0
"","shotgun_bolt_l4",9,0,0
"","sniper_mag_l4",4,0,0
"","stock_sniper_l4",6,0,0
"","laser_sight_l4",6,0,0
"","gold_weapons",2,0,0
"","",0,0,0
"pathtt_loot_roller_contents_common","",0,0,0
"","Backpack_1",30,0,0
"","Attachment_L1",35,0,0
"","Health_1",35,0,0
"","",0,0,0
"pathtt_loot_roller_contents_rare","",0,0,0
"","Incapshield_2",25,0,0
"","Backpack_2",10,0,0
"","Attachment_L2",35,0,0
"","Health_2",25,0,0
"","Helmet_2",5,0,0
"","",0,0,0
"pathtt_loot_roller_contents_epic","",0,0,0
"","Incapshield_3",20,0,0
"","Backpack_3",10,0,0
"","Attachment_L3",35,0,0
"","Health_3",10,0,0
"","attachments_hopups_only",15,0,0
"","Helmet_3",5,0,0
"","",0,0,0
"pathtt_loot_roller_contents_legendary","",0,0,0
"","incapshield_pickup_lv4_selfrevive",20,0,0
"","backpack_pickup_lv4_revive_boost",25,0,0
"","optic_sniper_threat",4,0,0
"","optic_cq_threat",0,0,0
"","bullets_mag_l4",5,0,0
"","highcal_mag_l4",5,0,0
"","energy_mag_l4",4,0,0
"","sniper_mag_l4",2,0,0
"","stock_sniper_l4",2,0,0
"","laser_sight_l4",3,0,0
"","Hopup_Gold",15,0,0
"","helmet_pickup_lv4_abilities",0,0,0
"","",0,0,0
"","",0,0,0
"secret_bin_loot","",0,0,0
"","secret_bin_loot_meds",1,0,0
"","",0,0,0
"secret_bin_loot_survival","",0,0,0
"","secret_bin_loot_survival_heatshield",2,0,0
"","secret_bin_loot_survival_respawn",1,0,0
"","mp_ability_redeploy_balloon",2,0,0
"","secret_bin_loot_improved",3,0,0
"","",0,0,0
"secret_bin_loot_meds","",0,0,0
"","health_pickup_health_small",12,0,0
"","health_pickup_combo_small",15,0,0
"","health_pickup_health_large",8,0,0
"","health_pickup_combo_full",4,0,0
"","health_pickup_combo_large",8,0,0
"","",0,0,0
"support_bin_loot_tier_1","",0,0,0
"","health_pickup_health_small",15,0,0
"","health_pickup_combo_small",15,0,0
"","health_pickup_health_large",8,0,0
"","health_pickup_combo_full",4,0,0
"","health_pickup_combo_large",8,0,0
"","",0,0,0
"support_bin_loot_tier_2","",0,0,0
"","health_pickup_health_small",10,0,0
"","health_pickup_combo_small",12,0,0
"","health_pickup_health_large",10,0,0
"","health_pickup_combo_full",5,0,0
"","health_pickup_combo_large",10,0,0
"","",0,0,0
"support_bin_loot_tier_3","",0,0,0
"","health_pickup_health_small",5,0,0
"","health_pickup_combo_small",5,0,0
"","health_pickup_health_large",10,0,0
"","health_pickup_combo_full",5,0,0
"","health_pickup_combo_large",10,0,0
"","",0,0,0
"support_bin_loot_tier_4","",0,0,0
"","health_pickup_health_small",2,0,0
"","health_pickup_combo_small",2,0,0
"","health_pickup_health_large",12,0,0
"","health_pickup_combo_full",10,0,0
"","health_pickup_combo_large",15,0,0
"","",0,0,0
"support_bin_loot_tier_5","",0,0,0
"","health_pickup_health_large",12,0,0
"","health_pickup_combo_full",10,0,0
"","health_pickup_combo_large",15,0,0
"","",0,0,0
"secret_bin_loot_tier_1","",0,0,0
"","support_bin_loot_tier_1",20,0,0
"","secret_bin_loot_improved",2,0,0
"","",0,0,0
"secret_bin_loot_tier_2","",0,0,0
"","support_bin_loot_tier_2",10,0,0
"","secret_bin_loot_improved",5,0,0
"","",0,0,0
"secret_bin_loot_tier_3","",0,0,0
"","support_bin_loot_tier_3",5,0,0
"","secret_bin_loot_improved",5,0,0
"","",0,0,0
"secret_bin_loot_tier_4","",0,0,0
"","support_bin_loot_tier_4",3,0,0
"","secret_bin_loot_improved",6,0,0
"","",0,0,0
"secret_bin_loot_tier_5","",0,0,0
"","support_bin_loot_tier_5",1,0,0
"","",0,0,0
"secret_bin_loot_improved","",0,0,0
"","health_pickup_health_large",8,0,0
"","health_pickup_combo_full",4,0,0
"","health_pickup_combo_large",8,0,0
"","",0,0,0
"secret_bin_loot_survival_heatshield","",0,0,0
"","health_pickup_health_large",1,0,0
"","",0,0,0
"secret_bin_loot_survival_respawn","",0,0,0
"","mp_ability_mobile_respawn_beacon",1,0,0
"","",0,0,0
"secret_bin_loot_big_heal","",0,0,0
"","health_pickup_health_large",2,0,0
"","health_pickup_combo_large",8,0,0
"","",0,0,0
"secret_bin_loot_small_heal","",0,0,0
"","health_pickup_health_small",3,0,0
"","health_pickup_combo_small",7,0,0
"","",0,0,0
"support_bin_rotating_main_loot","",0,0,0
"","health_pickup_health_small",2,0,0
"","health_pickup_combo_small",3,0,0
"","secret_bin_loot_improved",2,0,0
"","",0,0,0
"lootbin_reset_rerolled_loot","",0,0,0
"","Weapon_High",13,0,0
"","ammo",11,0,0
"","Health_Small",9.5,0,0
"","Health_Large",7.5,0,0
"","ordnance",6.5,0,0
"","Attachment_Ultra_High",18,0,0
"","Helmet_High",1.5,0,0
"","Backpack_High",2.75,0,0
"","Incapshield_High",1,0,0
"","mp_pickup_xp_cache",4,0,0
"","top_tier_health",100,0,0
"","",0,0,0
"lootbin_reset_mythic_topup_loot","",0,0,0
"","mp_pickup_xp_cache_large",4,0,0
"","ordnance_drops",2,0,0
"","Backpack_3",1,0,0
"","Health_Large",4,0,0
"","top_tier_health",100,0,0
"","",0,0,0
"attachments_hopups_only","",0,0,0
"","Hopup_Gold",2,0,0
"","Hopup_Purple",6,0,0
"","",0,0,0
"Attachment_L1","",0,0,0
"","bullets_mag_l1",12,0,0
"","highcal_mag_l1",12,0,0
"","energy_mag_l1",12,0,0
"","sniper_mag_l1",8,0,0
"","shotgun_bolt_l1",10,0,0
"","stock_tactical_l1",14,0,0
"","stock_sniper_l1",8,0,0
"","laser_sight_l1",12,0,0
"","barrel_stabilizer_l1",12,0,0
"","",0,0,0
"Attachment_L2","",0,0,0
"","bullets_mag_l2",12,0,0
"","highcal_mag_l2",12,0,0
"","energy_mag_l2",12,0,0
"","sniper_mag_l2",8,0,0
"","shotgun_bolt_l2",10,0,0
"","stock_tactical_l2",14,0,0
"","stock_sniper_l2",8,0,0
"","laser_sight_l2",12,0,0
"","barrel_stabilizer_l2",12,0,0
"","",0,0,0
"Attachment_L3","",0,0,0
"","bullets_mag_l3",12,0,0
"","highcal_mag_l3",12,0,0
"","energy_mag_l3",12,0,0
"","sniper_mag_l3",8,0,0
"","shotgun_bolt_l3",10,0,0
"","stock_tactical_l3",14,0,0
"","stock_sniper_l3",8,0,0
"","laser_sight_l3",12,0,0
"","barrel_stabilizer_l3",12,0,0
"","",0,0,0
"Attachment_L4","",0,0,0
"","bullets_mag_l4",21,0,0
"","highcal_mag_l4",21,0,0
"","energy_mag_l4",21,0,0
"","sniper_mag_l4",10,0,0
"","shotgun_bolt_l4",21,0,0
"","stock_sniper_l4",10,0,0
"","laser_sight_l4",14,0,0
"","",0,0,0
"Attachment_Optics","",0,0,0
"","optic_cq_hcog_classic",10,0,0
"","optic_cq_hcog_bruiser",4,0,0
"","optic_cq_holosight_variable",2,0,0
"","optic_ranged_hcog",3,0,0
"","optic_ranged_aog_variable",2,0,0
"","optic_sniper",2,0,0
"","optic_sniper_variable",2,0,0
"","",0,0,0
"Attachment_Optics_L1","",0,0,0
"","optic_cq_hcog_classic",15,0,0
"","bullets_mag_l1",10,0,0
"","highcal_mag_l1",10,0,0
"","energy_mag_l1",4,0,0
"","sniper_mag_l1",6,0,0
"","shotgun_bolt_l1",10,0,0
"","stock_tactical_l1",8,0,0
"","stock_sniper_l1",4,0,0
"","laser_sight_l1",10,0,0
"","barrel_stabilizer_l1",10,0,0
"","",0,0,0
"Attachment_Optics_L2","",0,0,0
"","optic_cq_hcog_bruiser",15,0,0
"","optic_cq_holosight_variable",15,0,0
"","bullets_mag_l2",10,0,0
"","highcal_mag_l2",10,0,0
"","energy_mag_l2",4,0,0
"","sniper_mag_l2",6,0,0
"","shotgun_bolt_l2",10,0,0
"","stock_tactical_l2",8,0,0
"","stock_sniper_l2",4,0,0
"","laser_sight_l2",10,0,0
"","barrel_stabilizer_l2",10,0,0
"","",0,0,0
"Attachment_Optics_L3","",0,0,0
"","optic_sniper_variable",10,0,0
"","optic_ranged_aog_variable",10,0,0
"","optic_ranged_hcog",10,0,0
"","bullets_mag_l3",10,0,0
"","highcal_mag_l3",10,0,0
"","energy_mag_l3",4,0,0
"","sniper_mag_l3",6,0,0
"","shotgun_bolt_l3",10,0,0
"","stock_tactical_l3",8,0,0
"","stock_sniper_l3",4,0,0
"","laser_sight_l3",10,0,0
"","barrel_stabilizer_l3",10,0,0
"","",0,0,0
"Attachment_Optics_L4","",0,0,0
"","optic_sniper_threat",13,0,0
"","bullets_mag_l4",15,0,0
"","highcal_mag_l4",15,0,0
"","energy_mag_l4",15,0,0
"","sniper_mag_l4",8,0,0
"","shotgun_bolt_l4",13,0,0
"","stock_sniper_l4",8,0,0
"","laser_sight_l4",13,0,0
"","",0,0,0
"Explosive_Hold_Attachments","",0,0,300
"","optic_cq_hcog_bruiser",5,0,0
"","optic_cq_holosight_variable",4,0,0
"","optic_ranged_hcog",5,0,0
"","optic_ranged_aog_variable",3,0,0
"","optic_sniper",2,0,0
"","optic_sniper_variable",2,0,0
"","optic_cq_threat",0,0,0
"","bullets_mag_l2",3,0,0
"","bullets_mag_l3",2,0,0
"","bullets_mag_l4",1,0,0
"","highcal_mag_l2",3,0,0
"","highcal_mag_l3",2,0,0
"","highcal_mag_l4",1,0,0
"","energy_mag_l2",3,0,0
"","energy_mag_l3",2,0,0
"","energy_mag_l4",1,0,0
"","sniper_mag_l3",3,0,0
"","sniper_mag_l4",1,0,0
"","shotgun_bolt_l2",4,0,0
"","shotgun_bolt_l3",4,0,0
"","shotgun_bolt_l4",1,0,0
"","stock_tactical_l2",6,0,0
"","stock_tactical_l3",4,0,0
"","stock_sniper_l3",4,0,0
"","stock_sniper_l4",1,0,0
"","laser_sight_l2",7,0,0
"","laser_sight_l3",7,0,0
"","laser_sight_l4",1,0,0
"","barrel_stabilizer_l2",7,0,0
"","barrel_stabilizer_l3",7,0,0
"","Hopup_Gold",3,0,0
"","Hopup_Purple",0,0,0
"","",0,0,0
"Explosive_Hold_Ammo","",0,0,300
"","bullet",26,0,0
"","shotgun",2,0,0
"","highcal",32,0,0
"","special",26,0,0
"","sniper",14,0,0
"","",0,0,0
"Sniper_Tower_Platform","",0,0,300
"","sniper_rifles",50,0,0
"","sniper_attachments",50,0,0
"","",0,0,0
"caustictt_loot","",0,0,0
"","gold_weapons",45,0,0
"","corrupted_attachments",10,0,0
"","backpack_pickup_lv3",15,0,0
"","augments",30,0,0
"","",0,0,0
"Zone_High_CausticTT","",0,0,300
"","Weapon_High",20.5,0,0
"","ammo",12,0,0
"","Health_High",14.5,0,0
"","ordnance",9,0,0
"","Attachment_High",16,0,0
"","Backpack_High",1.2,0,0
"","Survival_Items",1,0,0
"","augments",0.5,0,0
"","blank",10.5,0,0
"","",0,0,0
"Attachment_High_nogold","",0,3,0
"","optic_cq_hcog_classic",7,0,0
"","optic_cq_hcog_bruiser",3,0,0
"","optic_cq_holosight_variable",4,0,0
"","optic_ranged_hcog",1,0,0
"","optic_ranged_aog_variable",3,0,0
"","optic_sniper",3,0,0
"","optic_sniper_variable",3,0,0
"","optic_cq_threat",0,0,0
"","bullets_mag_l1",4,0,0
"","bullets_mag_l2",4,0,0
"","bullets_mag_l3",2.5,0,0
"","highcal_mag_l1",4,0,0
"","highcal_mag_l2",4,0,0
"","highcal_mag_l3",2.5,0,0
"","energy_mag_l1",4,0,0
"","energy_mag_l2",4,0,0
"","energy_mag_l3",2.5,0,0
"","sniper_mag_l1",2.5,0,0
"","sniper_mag_l2",2.5,0,0
"","sniper_mag_l3",1.5,0,0
"","shotgun_bolt_l1",5,0,0
"","shotgun_bolt_l2",4,0,0
"","shotgun_bolt_l3",3,0,0
"","stock_tactical_l1",4.5,0,0
"","stock_tactical_l2",5,0,0
"","stock_tactical_l3",2.5,0,0
"","stock_sniper_l1",2.75,0,0
"","stock_sniper_l2",3,0,0
"","stock_sniper_l3",1,0,0
"","laser_sight_l1",6.5,0,0
"","laser_sight_l2",5,0,0
"","laser_sight_l3",1.5,0,0
"","barrel_stabilizer_l1",6.5,0,0
"","barrel_stabilizer_l2",5,0,0
"","barrel_stabilizer_l3",1.5,0,0
"","Hopup_Gold",1,0,0
"","Hopup_Purple",6,0,0
"","blank",1.5,0,0
"","",0,0,0
"control_blue_kitted_weapons","",0,0,0
"","mp_weapon_wingman_blueset",5,0,0
"","mp_weapon_semipistol_akimbo_blueset",2,0,0
"","mp_weapon_autopistol_fusion_blueset",5,0,0
"","mp_weapon_shotgun_pistol_akimbo_blueset",2,0,0
"","mp_weapon_shotgun_blueset",2,0,0
"","mp_weapon_alternator_smg_blueset",5,0,0
"","mp_weapon_g2_blueset",5,0,0
"","mp_weapon_energy_shotgun_blueset",5,0,0
